,incremental_r2
Intercept,2.2853292130271078e-17
male,0.007952117396239966
age,0.004573453501715954
veteran,0.11786765759717847
drug_use,0.015304000828119493
work_hours,0.047467901906755115
k6_score,0.01614755749793266
married,0.005703063161538256
lgbtq,0.053266951311339746
mental_health_tx,0.032591585664978044
drug_use:mental_health_tx,0.010625660346468335
age:work_hours,0.013476022288128971
