,incremental_r2
Intercept,-1.743434641483877e-17
male,0.000478001524657011
age,0.008947507998721878
veteran,0.00025198349799127105
drug_use,0.008614891948046136
work_hours,0.0007214946117170664
k6_score,0.14270375347046496
married,0.0037072942116295362
lgbtq,0.018993476149716484
mental_health_tx,0.006080660814317687
drug_use:mental_health_tx,0.006538028557637237
age:work_hours,0.000765451142133901
