Metric,Same-Year (n=9),Cross-Year (n=72),Difference
Mean,0.7498939813937957,0.6876727308762673,0.06222125051752836
SD,0.010886981509173124,0.015915402070595743,-0.005028420561422619
Min,0.730906961302885,0.6520363590089836,0.07887060229390142
Max,0.7641074255562503,0.7203519794795491,0.04375544607670123
Range,0.033200464253365314,0.0683156204705655,
