Train Year,2015,2016,2017,2018,2019,2020,2021,2022,2023
2015,0.746304121621489,0.6601503887166483,0.6699595304339347,0.6853116268291379,0.6923654965143232,0.6799881668117954,0.6737332380893086,0.6952737390364527,0.687876276323017
2016,0.6520363590089836,0.730906961302885,0.671562572931267,0.7021704171590369,0.6834456931920749,0.6883977669996206,0.679499624812816,0.7078730315407473,0.6944209039049453
2017,0.6764752191042939,0.6641967992972536,0.7438128991526434,0.7115643556966004,0.697927301610108,0.6886167602325626,0.6895148107006808,0.7148132737090144,0.6995210465158339
2018,0.6702419607485844,0.6771342646522629,0.6960866539563508,0.7637449533306303,0.6923665844037639,0.696701492596456,0.6888483118761215,0.7147382917588687,0.7036829289978338
2019,0.6742681829398596,0.6669787898348563,0.6850960625836271,0.6940497893635276,0.7479874638741586,0.6870651092823906,0.6888069202283964,0.7169472753873213,0.707667695076899
2020,0.6582174517377015,0.661957553143832,0.6703578278965673,0.6942495635225081,0.6753283566808913,0.7566302879095428,0.6865813284211301,0.7021057919163014,0.6861878150642297
2021,0.6709674584640939,0.6619015409049801,0.6796358413562946,0.6986400868123801,0.6916482608959842,0.7019957793806324,0.7412191681148055,0.708672662049614,0.6926878624683034
2022,0.6656448035240985,0.6795840599825947,0.6881819886485947,0.7098767608532185,0.6975338218893166,0.6963850452078312,0.6890994834031098,0.7641074255562503,0.7116656877853511
2023,0.6638926216036481,0.6639673030628036,0.6822251362074219,0.7063422811611689,0.6969170676956807,0.6915645317395925,0.6806941572742442,0.7203519794795491,0.7543325516817566
