y_true,p_hat,p_hat_recal
0.0,0.0013875638486895,0.005150044262901574
0.0,0.0728790061265619,0.09235308850807947
0.0,0.0005678994028744,0.0026686236390063775
0.0,0.5695168788714687,0.4497569004586557
0.0,0.0081631495038071,0.018877787091028005
0.0,0.0007471864211762,0.0032660783645957338
0.0,0.0015508865158633,0.005589057397721093
0.0,0.0013027408660963,0.00491662741114537
0.0,0.0064405862816623,0.01587647588400282
0.0,0.0009646484279847,0.003941660019440182
0.0,0.0742748397176524,0.09362780485333218
0.0,0.008625822292599,0.019652955739460857
0.0,0.0004621221582946,0.0022927276522448727
0.0,0.0003014920575244,0.0016737076677419119
0.0,0.0096773640038199,0.02137345323321458
0.0,0.0010658988920118,0.00424201380688344
0.0,0.0012674443799471,0.00481831077478608
0.0,0.0027239659127745,0.008452813901478786
0.0,0.0021401815688483,0.007081162201254611
0.0,0.0011698377950291,0.004542531209350104
0.0,0.0050935582989858,0.013372573276639507
0.0,0.0018152264697956,0.006274354777493573
0.0,0.0092456595213592,0.020673701926540625
0.0,0.0049528890883188,0.013101247440962183
0.0,0.2735948778043122,0.24436950575398667
0.0,0.0257933428250026,0.043589147310872975
0.0,0.001246988679063,0.004760998332587213
0.0,0.0029239603978194,0.008903834745178784
1.0,0.3226063197118133,0.27774001260747677
0.0,0.0018465527300673,0.0063537288325233015
0.0,0.0012722769174223,0.0048318143395166685
0.0,0.005881708005276,0.014856925007953064
0.0,0.0169593064272867,0.03215518813380026
0.0,0.0205901002973728,0.0370193120783971
0.0,0.0001614426372578,0.0010561039387838905
0.0,0.0087330307577662,0.01983091947715415
0.0,0.1156514558388904,0.12902932358559563
0.0,0.0044266099543448,0.01206678476721956
0.0,0.0155719403795402,0.030221124465465456
0.0,0.0220378455561447,0.038889988134140886
0.0,0.0179553979496949,0.03351647008516809
0.0,0.148105314414421,0.1545399563752826
0.0,0.0983314170205891,0.11469867654616625
0.0,0.007140579555401,0.01711987920695966
0.0,0.0026775435697911,0.00834686323263693
0.0,0.0013093335180595,0.004934911653698349
0.0,0.166705513797654,0.16856627376221486
0.0,0.0954097618933256,0.11221946120907447
0.0,0.0005993872301294,0.0027768145051111624
0.0,0.0081768766760267,0.018900957379978295
0.0,0.0005291439796757,0.002533250221752755
0.0,0.0061395895131668,0.01533052799716936
0.0,0.0249975494311122,0.04261044750296388
0.0,0.1427305429782661,0.15041480702755
0.0,0.0207127976854381,0.03717925681427838
0.0,0.0090713415475704,0.020388601084926048
0.0,0.0029821545519763,0.009033489432710937
0.0,0.0622994430354394,0.0824610282419406
0.0,0.0264304034095032,0.04436650397741948
0.0,8.580657139239417e-05,0.0006626215417027375
0.0,0.1377321566337939,0.1465461472044346
0.0,0.0039495050379811,0.011099650303532476
0.0,0.0049941632079204,0.013181073279822835
0.0,0.0120821889602295,0.025125993421279556
0.0,0.0040341000961955,0.011273351995261596
0.0,0.0036554144630974,0.010487718383722111
0.0,0.0781484313001129,0.097131769337923
0.0,0.0030877167162095,0.00926694987871303
0.0,0.0009496418898188,0.0038964459858016505
0.0,0.0048754665980306,0.012951017718193313
0.0,0.0015220586703502,0.005512502590837587
0.0,0.0406130623684673,0.06053894005645063
0.0,0.0853689149986523,0.10354114617621235
0.0,0.017242935779825,0.03254503250648178
