y_true,p_hat,p_hat_recal
0.0,0.0097772975078721,0.007464906713118172
0.0,0.0762623748404167,0.07903918423991395
0.0,0.0115987138252048,0.00908419760757541
0.0,0.3097813484869035,0.37415120951615977
0.0,0.0248358146882176,0.02180106528273242
0.0,0.0101749508179104,0.007814836436375296
0.0,0.0101210734535386,0.007767302717040334
0.0,0.0102497429004012,0.007880885061459179
0.0,0.0143753841749393,0.011625989513723836
0.0,0.0097922134443698,0.007477994483170458
0.0,0.0445491887956078,0.042677231021130135
0.0,0.0428031318446928,0.0407613540284536
0.0,0.010105545512093,0.007753610124793127
0.0,0.009840981457869,0.0075208061636009875
0.0,0.0144316545177893,0.01167832238132292
0.0,0.0137352268213717,0.011032824642103766
0.0,0.0127203382458189,0.010101013930545135
0.0,0.0197905416978998,0.016790579202420046
0.0,0.0109036786094175,0.008461415081171188
0.0,0.0107106712613672,0.00828951346325123
0.0,0.0102497429004012,0.007880885061459179
0.0,0.0102497429004012,0.007880885061459179
0.0,0.0226880515856866,0.01964736869768688
0.0,0.0116477622500575,0.009128363815739735
0.0,0.1765664487490398,0.20403708735540005
0.0,0.047334484505022,0.04575572121161452
0.0,0.0098170705500238,0.007499811644475377
0.0,0.010155573377495,0.007797736171092361
1.0,0.3666304058385091,0.4445417451040761
0.0,0.0169642979099322,0.014064159590151597
0.0,0.0106312278764859,0.008218892184337807
0.0,0.0176257774953433,0.014696543009448882
0.0,0.0337181912841987,0.03098602313774959
0.0,0.1653523665712997,0.18969622558620441
0.0,0.0102497429004012,0.007880885061459179
0.0,0.0195241096938349,0.01653090639953256
0.0,0.059242915609077,0.05919407405100384
0.0,0.0099482752483489,0.0076151076537661205
0.0,0.0149849593258519,0.012194532571931236
0.0,0.0351059694607082,0.032456632547880164
0.0,0.0717085782431578,0.07366581105612917
0.0,0.0158220889197809,0.012980987466239458
0.0,0.0462860726642373,0.04459381147161684
0.0,0.0298560329103961,0.026941418142643052
0.0,0.0402848896517172,0.03801818142948282
0.0,0.0110816211575567,0.008620305641967571
0.0,0.1135390659615227,0.1243343134390892
0.0,0.0360066301230987,0.03341566935070612
0.0,0.0102011433790308,0.007837958715027668
0.0,0.0299132859089804,0.027000833418822395
0.0,0.0118917104320586,0.009348443841914177
0.0,0.0099256802125223,0.007595235902482569
0.0,0.1383030978244417,0.15533748767329367
0.0,0.2165508775216748,0.2553713195063119
0.0,0.0117274677293425,0.009200195209036713
0.0,0.0110208530491076,0.008566000376238567
0.0,0.0098849897023096,0.007559466807574078
0.0,0.071893473958782,0.07388314358603655
0.0,0.1814315657477987,0.21027046353599227
0.0,0.0114075053655854,0.00891229108964764
0.0,0.0520667885293463,0.05104504786410107
0.0,0.0165270336963202,0.013648155478422025
0.0,0.0109641275842971,0.008515348452224505
0.0,0.0113166948056247,0.00883079894314111
0.0,0.1311649770116174,0.14634679203792883
0.0,0.0099383578505215,0.007606384721607577
0.0,0.1737666096887959,0.20045275593916978
0.0,0.0114636623397902,0.00896273452125338
0.0,0.0111171727642235,0.00865209704594746
0.0,0.010646388314547,0.00823236296020446
0.0,0.0137538586094054,0.011050030840963728
0.0,0.0288595457573151,0.025910037846080244
0.0,0.0470171474301701,0.04540363755199702
0.0,0.0233678173625167,0.020325837540026793
0.0,0.013438227086842,0.010759027005829407
0.0,0.0107106712613672,0.00828951346325123
0.0,0.0573723817260179,0.05705599752141184
0.0,0.0098053795884742,0.007489549414285758
0.0,0.0478741882428576,0.0463552935131763
0.0,0.0119799895376228,0.009428254015405002
0.0,0.0101749508179104,0.007814836436375296
0.0,0.0098855219547248,0.0075599345427111156
0.0,0.0101079943472967,0.007755769306097083
0.0,0.0101503708322703,0.007793145847546206
0.0,0.0125850727696803,0.00997764614288579
0.0,0.1055940559219936,0.11451729268930944
0.0,0.0101210734535386,0.007767302717040334
0.0,0.0101199253638533,0.007766290219384822
0.0,0.0102277011429804,0.007861412505546669
0.0,0.0139062179391975,0.011190864011496333
1.0,0.3437571129970818,0.41647209494833953
0.0,0.0107077429330587,0.00828690892001917
0.0,0.0105253146665732,0.008124864026619986
0.0,0.2363272722647215,0.2807654644266562
0.0,0.0098089099113661,0.007492648109004978
0.0,0.0102317369464434,0.00786497742154809
0.0,0.1456946691896465,0.16468541353303084
0.0,0.0105171503925406,0.008117621795788782
0.0,0.0102497429004012,0.007880885061459179
0.0,0.0102497429004012,0.007880885061459179
0.0,0.0183899314097679,0.01543154125519303
0.0,0.0869562825353234,0.09181407983149951
0.0,0.0098241865050725,0.007506058871189429
1.0,0.0715065735248314,0.073428451486849
0.0,0.0137175090244897,0.01101646576320576
0.0,0.2289177401620637,0.2712565420727339
0.0,0.1679664544378546,0.19303532576721422
0.0,0.0563796007221664,0.05592510517263387
0.0,0.0102764426988142,0.007904481149427864
0.0,0.0510855746358876,0.04994251736137458
0.0,0.1840937459706623,0.21368376942697467
0.0,0.058159182520085,0.05795418163077226
0.0,0.0114636623397902,0.00896273452125338
0.0,0.0099346179293428,0.007603095581675752
0.0,0.0248358146882176,0.02180106528273242
0.0,0.0099235517445274,0.007593364320048868
0.0,0.0102764426988142,0.007904481149427864
0.0,0.0106312278764859,0.008218892184337807
1.0,0.0418043575148083,0.03967048433053701
0.0,0.080508158879431,0.08408617366965106
0.0,0.2512224659643023,0.2998494176685226
0.0,0.0107106712613672,0.00828951346325123
0.0,0.0190956014802741,0.016114389429238846
0.0,0.0249065186337103,0.021872454355433068
0.0,0.0105941659170051,0.008185973031004852
0.0,0.0099982740293487,0.007659104401054132
0.0,0.0098752534635222,0.007550911420823036
